Series,Mazur.lnk,Mazur.RMSE,Mazur.BIC,Mazur.AIC,Mazur.BF,Mazur.prob,Mazur.notes,exp.lnk,exp.RMSE,exp.BIC,exp.AIC,exp.BF,exp.prob,exp.notes,BD.beta,BD.delta,BD.RMSE,BD.BIC,BD.AIC,BD.BF,BD.prob,BD.notes,MG.lnk,MG.s,MG.RMSE,MG.BIC,MG.AIC,MG.BF,MG.prob,MG.notes,Rachlin.lnk,Rachlin.s,Rachlin.RMSE,Rachlin.BIC,Rachlin.AIC,Rachlin.BF,Rachlin.prob,Rachlin.notes,Loewenstein-Prelec.lnk,Loewenstein-Prelec.beta,Loewenstein-Prelec.RMSE,Loewenstein-Prelec.BIC,Loewenstein-Prelec.AIC,Loewenstein-Prelec.BF,Loewenstein-Prelec.prob,Loewenstein-Prelec.notes,EbertPrelec.lnk,EbertPrelec.s,EbertPrelec.RMSE,EbertPrelec.BIC,EbertPrelec.AIC,EbertPrelec.BF,EbertPrelec.prob,EbertPrelec.notes,Bleichrodt.lnk,Bleichrodt.s,Bleichrodt.beta,Bleichrodt.RMSE,Bleichrodt.BIC,Bleichrodt.AIC,Bleichrodt.BF,Bleichrodt.prob,Bleichrodt.notes,Parabolic.lnk,Parabolic.RMSE,Parabolic.BIC,Parabolic.AIC,Parabolic.BF,Parabolic.prob,Parabolic.notes,Power.lnk,Power.lns,Power.RMSE,Power.BIC,Power.AIC,Power.BF,Power.prob,Power.notes,noise.mean,noise.RMSE,noise.BIC,noise.AIC,noise.BF,noise.prob,probmodel,probmodel.ED50,probmodel.AUC,probmodel.Log10AUC,delays,values,ResponseId
146,-1.57212,0.140937,-3.67521,-3.56703,119.701,0.774875,Success: relative step is no more than EpsX,-1.54829,0.175269,-0.623111,-0.514931,26.0221,0.168452,Success: relative step is no more than EpsX,0.709546,0.968696,0.178208,1.5556,1.71787,8.75471,0.056673,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305714,0.279188,5.89478,6.00296,1,0.00647343,Hyperbolic (f),1.57212,0.0417859,0.280075,"1,4,26,52,156,260,520","0.94,0.35,0.25,0.25,0.25,0.075,0.025",R_3plsDkzAdqb20Lw
147,0.560266,0.0191614,-31.611,-31.5028,277792,0.837082,Success: relative step is no more than EpsX,-0.0274986,0.054381,-17.0074,-16.8992,187.32,0.00056446,Success: relative step is no more than EpsX,0.463506,0.75477,0.0210776,-28.3307,-28.1685,53878.4,0.162354,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0892857,0.114842,-6.54176,-6.43358,1,3.01E-06,Hyperbolic (f),-0.560266,0.00638525,0.07206,"1,4,26,52,156,260,520","0.35,0.15,0.025,0.025,0.025,0.025,0.025",R_bBqGB5o7W3Jslz3
148,-2.94499,0.118297,-6.12688,-6.01871,2940.48,0.240757,Success: relative step is no more than EpsX,-3.55052,0.10669,-7.57267,-7.46449,6058.51,0.496051,Success: relative step is no more than EpsX,0.931266,0.974272,0.101644,-6.30508,-6.14281,3214.49,0.263192,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.362857,0.370221,9.84577,9.95395,1,8.19E-05,Exponential (f),3.55052,0.0652134,0.479996,"1,4,26,52,156,260,520","0.94,0.75,0.65,0.075,0.075,0.025,0.025",R_3MR5vfcEnl7puz9
149,-1.6512,0.154283,-2.40862,-2.30044,5.93476,0.35334,Success: relative step is no more than EpsX,-1.95711,0.190174,0.519502,0.627681,1.37268,0.0817259,Success: relative step is no more than EpsX,0.610452,0.973337,0.125556,-3.34717,-3.1849,9.48872,0.564934,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292857,0.198977,1.15303,1.26121,1,0.0595374,Beta-Delta (f),1.99952,0.0423626,0.298755,"1,4,26,52,156,260,520","0.55,0.65,0.15,0.25,0.15,0.15,0.15",R_6YEuGdyCQmX8QIV
150,1.6441,0.0436574,-20.0824,-19.9742,0.756948,0.584353,Success: relative step is no more than EpsX,0.636736,0.0516489,-17.729,-17.6209,0.233368,0.180157,Success: relative step is no more than EpsX,0.18658,0.80026,0.0432593,-18.2647,-18.1025,0.305044,0.23549,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642857,0.0419548,-20.6393,-20.5311,1,0.771987,Noise,NA,0.0642857,0.0642857,"1,4,26,52,156,260,520","0.15,0.075,0.025,0.025,0.075,0.025,0.075",R_1MMxAV5dLVWCHev
151,1.64812,0.0223679,-29.4448,-29.3366,119.904,0.616745,Success: relative step is no more than EpsX,0.636736,0.0352,-23.097,-22.9888,5.01668,0.0258041,Success: relative step is no more than EpsX,0.186581,0.80026,0.0210428,-28.3539,-28.1916,69.4935,0.357451,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.0443203,-19.8714,-19.7632,1,0.00514366,Hyperbolic (f),-1.64812,0.00225341,0.0280801,"1,4,26,52,156,260,520","0.15,0.075,0.025,0.025,0.025,0.025,0.025",R_XBt8XngDGa3BwBz
152,3.39374,0.0861985,-10.5585,-10.4503,0.0410821,0.0895415,Success: relative step is no more than EpsX,1.30531,0.0866025,-10.493,-10.3848,0.039759,0.0866576,Success: relative step is no more than EpsX,0.0678571,1,0.0546324,-14.9969,-14.8347,0.377964,0.823801,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0678571,0.0546324,-16.9428,-16.8347,1,2.17957,Noise,NA,0.0678571,0.0678571,"1,4,26,52,156,260,520","0.025,0.025,0.025,0.025,0.15,0.075,0.15",R_12u0tQNLBkzJZdB
153,-0.679895,0.167512,-1.25681,-1.14863,125.759,0.138627,Success: relative step is no more than EpsX,-1.01629,0.135084,-4.26908,-4.1609,567.08,0.625106,Success: relative step is no more than EpsX,1,0.696328,0.135084,-2.32317,-2.1609,214.336,0.236268,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161429,0.33418,8.41192,8.5201,1,0.00110232,Exponential (f),1.01629,0.00370696,0.123241,"1,4,26,52,156,260,520","0.98,0.025,0.025,0.025,0.025,0.025,0.025",R_10vZBkPAWUED8CL
154,3.43402,0.0218516,-29.7718,-29.6636,2.54E-111,2.41E-33,Success: relative step is no more than EpsX,1.30531,0.0231454,-28.9664,-28.8583,1.70E-111,1.61E-33,Success: relative step is no more than EpsX,0.0250001,1,4.16E-07,-179.984,-179.821,1.06E-78,1,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,3.47E-18,-539.079,-538.97,1,9.47E+77,Noise,NA,0.025,0.025,"1,4,26,52,156,260,520","0.025,0.025,0.025,0.025,0.025,0.025,0.025",R_1DGBkUXzTyObMX6
155,3.42765,0.0344964,-23.3797,-23.2715,0.00863412,0.0219214,Success: relative step is no more than EpsX,1.30531,0.0353553,-23.0353,-22.9272,0.00726861,0.0184545,Success: relative step is no more than EpsX,0.0321426,1,0.0174964,-30.9378,-30.7755,0.377964,0.959624,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0321429,0.0174964,-32.8837,-32.7755,1,2.53893,Noise,NA,0.0321429,0.0321429,"1,4,26,52,156,260,520","0.025,0.025,0.025,0.025,0.025,0.075,0.025",R_1QA97VXEJikOT1P
156,-0.454585,0.195979,0.940482,1.04866,0.012654,0.020336,Success: relative step is no more than EpsX,-0.799112,0.21625,2.31849,2.42666,0.00635327,0.0102102,Success: relative step is no more than EpsX,0.327008,0.999166,0.0981959,-6.7882,-6.62593,0.603239,0.969454,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292857,0.104978,-7.79909,-7.69091,1,1.60708,Noise,NA,0.292857,0.292857,"1,4,26,52,156,260,520","0.55,0.25,0.25,0.25,0.25,0.25,0.25",R_A7Bbb1uiEY4SjgB
157,1.6441,0.0436574,-20.0824,-19.9742,0.756948,0.584353,Success: relative step is no more than EpsX,0.636736,0.0516489,-17.729,-17.6209,0.233368,0.180157,Success: relative step is no more than EpsX,0.18658,0.80026,0.0432593,-18.2647,-18.1025,0.305044,0.23549,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642857,0.0419548,-20.6393,-20.5311,1,0.771987,Noise,NA,0.0642857,0.0642857,"1,4,26,52,156,260,520","0.15,0.075,0.025,0.025,0.075,0.025,0.075",R_2vf8pz2I6dFasOQ
