Series,Mazur.lnk,Mazur.RMSE,Mazur.BIC,Mazur.AIC,Mazur.BF,Mazur.prob,Mazur.notes,exp.lnk,exp.RMSE,exp.BIC,exp.AIC,exp.BF,exp.prob,exp.notes,BD.beta,BD.delta,BD.RMSE,BD.BIC,BD.AIC,BD.BF,BD.prob,BD.notes,MG.lnk,MG.s,MG.RMSE,MG.BIC,MG.AIC,MG.BF,MG.prob,MG.notes,Rachlin.lnk,Rachlin.s,Rachlin.RMSE,Rachlin.BIC,Rachlin.AIC,Rachlin.BF,Rachlin.prob,Rachlin.notes,Loewenstein-Prelec.lnk,Loewenstein-Prelec.beta,Loewenstein-Prelec.RMSE,Loewenstein-Prelec.BIC,Loewenstein-Prelec.AIC,Loewenstein-Prelec.BF,Loewenstein-Prelec.prob,Loewenstein-Prelec.notes,EbertPrelec.lnk,EbertPrelec.s,EbertPrelec.RMSE,EbertPrelec.BIC,EbertPrelec.AIC,EbertPrelec.BF,EbertPrelec.prob,EbertPrelec.notes,Bleichrodt.lnk,Bleichrodt.s,Bleichrodt.beta,Bleichrodt.RMSE,Bleichrodt.BIC,Bleichrodt.AIC,Bleichrodt.BF,Bleichrodt.prob,Bleichrodt.notes,Parabolic.lnk,Parabolic.RMSE,Parabolic.BIC,Parabolic.AIC,Parabolic.BF,Parabolic.prob,Parabolic.notes,Power.lnk,Power.lns,Power.RMSE,Power.BIC,Power.AIC,Power.BF,Power.prob,Power.notes,noise.mean,noise.RMSE,noise.BIC,noise.AIC,noise.BF,noise.prob,probmodel,probmodel.ED50,probmodel.AUC,probmodel.Log10AUC,delays,values,ResponseId
1,-7.259,0.023475,-28.7685,-28.6603,9237.92,0.512804,Success: relative step is no more than EpsX,-7.3981,0.0262468,-27.206,-27.0978,4229.48,0.234782,Success: relative step is no more than EpsX,0.98209,0.999444,0.0226057,-27.3508,-27.1886,4547.11,0.252414,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.08652,-10.5064,-10.3982,1,5.55108e-5,Hyperbolic (f),7.259,0.851871,0.950243,"1,4,26,52,156,260,520","0.98,0.98,0.98,0.98,0.85,0.85,0.75",R_3gUb0zD840UtlAn
2,-1.91964,0.0986192,-8.67389,-8.56571,13674.5,0.00303355,Success: relative step is no more than EpsX,-2.42839,0.0451149,-19.6226,-19.5145,3.26139e+6,0.723507,Success: relative step is no more than EpsX,1,0.915598,0.0451149,-17.6767,-17.5145,1.23269e+6,0.27346,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.265,0.38442,10.3727,10.4809,1,2.2184e-7,Exponential (f),2.42839,0.0200066,0.309801,"1,4,26,52,156,260,520","0.98,0.75,0.025,0.025,0.025,0.025,0.025",R_3EPWQo5hqoHY5Th
3,-4.06889,0.120878,-5.82465,-5.71647,680.988,0.863708,Success: relative step is no more than EpsX,-4.6531,0.168398,-1.18301,-1.07483,66.8681,0.08481,Success: relative step is no more than EpsX,0.882784,0.993265,0.157378,-0.184637,-0.0223676,40.5906,0.0514817,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.544286,0.30696,7.22243,7.33061,1,0.00126832,Hyperbolic (f),4.06889,0.256348,0.636289,"1,4,26,52,156,260,520","0.98,0.98,0.45,0.65,0.25,0.25,0.25",R_3Eb63B21TD8gqsX
4,-3.11004,0.0737971,-12.7331,-12.625,64957.4,0.932879,Success: relative step is no more than EpsX,-3.62064,0.112628,-6.81439,-6.70621,3368.11,0.0483707,Success: relative step is no more than EpsX,0.977721,0.974808,0.112222,-4.91903,-4.75676,1305.61,0.0187504,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.412857,0.359383,9.42983,9.53801,1,1.43614e-5,Hyperbolic (f),3.11004,0.135757,0.497528,"1,4,26,52,156,260,520","0.98,0.91,0.35,0.35,0.25,0.025,0.025",R_3qgNAJFk1wQMkRp
5,-0.0216423,0.215554,2.27336,2.38154,1.7759e-5,1.46849e-5,Success: relative step is no more than EpsX,-0.319481,0.244235,4.0222,4.13038,7.40733e-6,6.1251e-6,Success: relative step is no more than EpsX,0.29986,0.999463,0.0382601,-19.984,-19.8217,1.20932,0.999979,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278571,0.0451754,-19.6039,-19.4957,1,0.826896,Beta-Delta (f),nan,0.261542,0.287371,"1,4,26,52,156,260,520","0.35,0.35,0.25,0.25,0.25,0.25,0.25",R_1gpccVNCdL3WLII
6,-0.293531,0.109705,-7.18246,-7.07428,353.686,0.0325409,Success: relative step is no more than EpsX,-0.755559,0.0707393,-13.3256,-13.2174,7631.03,0.702093,Success: relative step is no more than EpsX,1,0.625159,0.0707393,-11.3797,-11.2174,2884.26,0.265366,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128571,0.253697,4.55436,4.66254,1,9.2005e-5,Exponential (f),0.755559,0.00256424,0.0956554,"1,4,26,52,156,260,520","0.75,0.025,0.025,0.025,0.025,0.025,0.025",R_27r2uxAMMiiaME5
7,-4.87807,0.0749268,-12.5204,-12.4123,14530.7,0.8273,Success: relative step is no more than EpsX,-5.38439,0.0996042,-8.53475,-8.42657,1980.63,0.112767,Success: relative step is no more than EpsX,0.950577,0.995863,0.0948701,-7.27059,-7.10832,1052.67,0.0599336,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.644286,0.294611,6.64759,6.75577,1,5.69346e-5,Hyperbolic (f),4.87807,0.403355,0.745207,"1,4,26,52,156,260,520","0.98,0.98,0.75,0.85,0.35,0.35,0.25",R_VIl39pcCuC85qg1
8,-2.96979,0.224254,2.82727,2.93545,0.0557343,0.00864799,Success: relative step is no more than EpsX,-3.56175,0.262547,5.03438,5.14256,0.0184864,0.00286844,Success: relative step is no more than EpsX,0.495863,0.997499,0.099167,-6.65043,-6.48816,6.37054,0.988484,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.378571,0.148461,-2.94706,-2.83888,1,0.155165,Beta-Delta (f),nan,0.276831,0.418659,"1,4,26,52,156,260,520","0.55,0.55,0.55,0.25,0.25,0.25,0.25",R_1qgktzUFXbYi82n
9,-3.6288,0.0886625,-10.1639,-10.0557,7792.94,0.782515,Success: relative step is no more than EpsX,-4.30025,0.130677,-4.73346,-4.62528,515.819,0.0517952,Success: relative step is no more than EpsX,0.827998,0.991492,0.0963141,-7.0591,-6.89683,1650.08,0.16569,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.454286,0.318932,7.75806,7.86624,1,0.000100413,Hyperbolic (f),3.6288,0.193691,0.57326,"1,4,26,52,156,260,520","0.98,0.75,0.55,0.45,0.35,0.075,0.025",R_25zuWT9X6O1AMHY
10,-0.614045,0.150123,-2.79128,-2.6831,9.48328,0.440241,Success: relative step is no more than EpsX,-0.93964,0.151857,-2.63044,-2.52226,8.75048,0.406222,Success: relative step is no more than EpsX,1,0.676537,0.151857,-0.684528,-0.522259,3.30737,0.153537,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.20702,1.70778,1.81596,1,0.0464228,Hyperbolic (f),0.614045,0.018553,0.166783,"1,4,26,52,156,260,520","0.75,0.15,0.15,0.15,0.15,0.25,0.15",R_242upSbUdpgJ9Od
