Series,Mazur.lnk,Mazur.RMSE,Mazur.BIC,Mazur.AIC,Mazur.BF,Mazur.prob,Mazur.notes,exp.lnk,exp.RMSE,exp.BIC,exp.AIC,exp.BF,exp.prob,exp.notes,BD.beta,BD.delta,BD.RMSE,BD.BIC,BD.AIC,BD.BF,BD.prob,BD.notes,MG.lnk,MG.s,MG.RMSE,MG.BIC,MG.AIC,MG.BF,MG.prob,MG.notes,Rachlin.lnk,Rachlin.s,Rachlin.RMSE,Rachlin.BIC,Rachlin.AIC,Rachlin.BF,Rachlin.prob,Rachlin.notes,Loewenstein-Prelec.lnk,Loewenstein-Prelec.beta,Loewenstein-Prelec.RMSE,Loewenstein-Prelec.BIC,Loewenstein-Prelec.AIC,Loewenstein-Prelec.BF,Loewenstein-Prelec.prob,Loewenstein-Prelec.notes,EbertPrelec.lnk,EbertPrelec.s,EbertPrelec.RMSE,EbertPrelec.BIC,EbertPrelec.AIC,EbertPrelec.BF,EbertPrelec.prob,EbertPrelec.notes,Bleichrodt.lnk,Bleichrodt.s,Bleichrodt.beta,Bleichrodt.RMSE,Bleichrodt.BIC,Bleichrodt.AIC,Bleichrodt.BF,Bleichrodt.prob,Bleichrodt.notes,Parabolic.lnk,Parabolic.RMSE,Parabolic.BIC,Parabolic.AIC,Parabolic.BF,Parabolic.prob,Parabolic.notes,Power.lnk,Power.lns,Power.RMSE,Power.BIC,Power.AIC,Power.BF,Power.prob,Power.notes,noise.mean,noise.RMSE,noise.BIC,noise.AIC,noise.BF,noise.prob,probmodel,probmodel.ED50,probmodel.AUC,probmodel.Log10AUC,delays,values,ResponseId
11,-3.65263,0.0993141,-8.57558,-8.4674,9739.49,0.628734,Success: relative step is no more than EpsX,-4.05691,0.112095,-6.88078,-6.7726,4173.65,0.26943,Success: relative step is no more than EpsX,1,0.982846,0.112095,-4.93487,-4.7726,1577.49,0.101835,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.487143,0.368809,9.79231,9.90049,1,6.45551e-5,Hyperbolic (f),3.65263,0.196757,0.576712,"1,4,26,52,156,260,520","0.98,0.98,0.75,0.25,0.15,0.15,0.15",R_1Cg6OKfI0DcEutF
12,-2.89096,0.0742565,-12.6463,-12.5381,129881,0.101125,Success: relative step is no more than EpsX,-3.44443,0.0568954,-16.3746,-16.2664,837821,0.652321,Success: relative step is no more than EpsX,1,0.968581,0.0568954,-14.4287,-14.2664,316667,0.246554,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376429,0.399247,10.9025,11.0107,1,7.78593e-7,Exponential (f),3.44443,0.0584607,0.463537,"1,4,26,52,156,260,520","0.98,0.98,0.35,0.25,0.025,0.025,0.025",R_3LYfqhze9oSLZF3
13,-6.43253,0.195692,0.919948,1.02813,0.88415,0.332924,Success: relative step is no more than EpsX,-6.7047,0.19782,1.07142,1.1796,0.819661,0.308641,Success: relative step is no more than EpsX,0.8592,0.999286,0.168511,0.772278,0.934548,0.951902,0.358436,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.19228,0.673691,0.78187,1,0.376547,Noise,NA,0.78,0.78,"1,4,26,52,156,260,520","0.98,0.94,0.45,0.94,0.85,0.75,0.55",R_32ORfSabCQTWDHh
14,-1.50988,0.0732232,-12.8424,-12.7343,22311.5,0.017143,Success: relative step is no more than EpsX,-2.05437,0.0560459,-16.5852,-16.477,144966,0.111384,Success: relative step is no more than EpsX,0.862111,0.911743,0.0363535,-20.6996,-20.5373,1.13422e+6,0.871473,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217857,0.306103,7.18328,7.29146,1,7.68349e-7,Beta-Delta (f),1.77428,0.0163911,0.261197,"1,4,26,52,156,260,520","0.75,0.65,0.025,0.025,0.025,0.025,0.025",R_1f4b3iHMhYEq0MD
15,3.43402,0.0218516,-29.7718,-29.6636,2.54354e-111,2.40938e-33,Success: relative step is no more than EpsX,1.30531,0.0231454,-28.9664,-28.8583,1.70045e-111,1.61075e-33,Success: relative step is no more than EpsX,0.0250001,1,4.16285e-7,-179.984,-179.821,1.05568e-78,1,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,3.46945e-18,-539.079,-538.97,1,9.47253e+77,Noise,NA,0.025,0.025,"1,4,26,52,156,260,520","0.025,0.025,0.025,0.025,0.025,0.025,0.025",R_1JEJkDC1dXOE3ZR
16,3.43402,0.0218516,-29.7718,-29.6636,2.54354e-111,2.40938e-33,Success: relative step is no more than EpsX,1.30531,0.0231454,-28.9664,-28.8583,1.70045e-111,1.61075e-33,Success: relative step is no more than EpsX,0.0250001,1,4.16285e-7,-179.984,-179.821,1.05568e-78,1,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,3.46945e-18,-539.079,-538.97,1,9.47253e+77,Noise,NA,0.025,0.025,"1,4,26,52,156,260,520","0.025,0.025,0.025,0.025,0.025,0.025,0.025",R_2BnVIygKi7iDwvw
17,-1.05708,0.150951,-2.71422,-2.60604,25.7246,0.571725,Success: relative step is no more than EpsX,-1.23577,0.164684,-1.49522,-1.38704,13.9845,0.310803,Success: relative step is no more than EpsX,1,0.747806,0.164684,0.450692,0.612961,5.28564,0.117472,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282143,0.240057,3.78068,3.88886,1,0.0222248,Hyperbolic (f),1.05708,0.0271939,0.215834,"1,4,26,52,156,260,520","0.85,0.25,0.15,0.25,0.25,0.15,0.075",R_417Bo9cCxWXEuHf
18,-5.03516,0.106706,-7.57052,-7.46234,150.777,0.764695,Success: relative step is no more than EpsX,-5.61,0.151812,-2.63465,-2.52647,12.7798,0.0648155,Success: relative step is no more than EpsX,0.842941,0.997609,0.115064,-4.56891,-4.40664,33.6158,0.170489,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.648571,0.218464,2.46108,2.56926,1,0.0050717,Hyperbolic (f),5.03516,0.435753,0.764756,"1,4,26,52,156,260,520","0.94,0.85,0.85,0.65,0.45,0.35,0.45",R_301RbToEWHMcKah
19,-1.62622,0.105015,-7.79422,-7.68604,174.73,0.0764234,Success: relative step is no more than EpsX,-1.77384,0.158258,-2.05248,-1.9443,9.89837,0.00432935,Success: relative step is no more than EpsX,0.620804,0.977066,0.0640576,-12.7688,-12.6065,2101.71,0.919247,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275,0.219578,2.53226,2.64044,1,0.00043738,Beta-Delta (f),2.23294,0.0503723,0.318589,"1,4,26,52,156,260,520","0.65,0.55,0.25,0.25,0.075,0.075,0.075",R_2dsXTdSB5FBa0o9
20,-5.3494,0.0820153,-11.2549,-11.1467,1833.8,0.896592,Success: relative step is no more than EpsX,-5.85061,0.11949,-5.98632,-5.87814,131.61,0.0643475,Success: relative step is no more than EpsX,0.93423,0.997551,0.111671,-4.98796,-4.82569,79.8907,0.0390606,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714286,0.239932,3.77336,3.88154,1,0.000488926,Hyperbolic (f),5.3494,0.502709,0.801791,"1,4,26,52,156,260,520","0.98,0.98,0.94,0.75,0.45,0.45,0.45",R_31B2O9ElIawBZix
21,-0.0412424,0.135499,-4.22611,-4.11793,2.33474,0.475843,Success: relative step is no more than EpsX,-0.491903,0.139292,-3.83958,-3.73141,1.92444,0.392221,Success: relative step is no more than EpsX,0.267274,0.997105,0.141631,-1.66056,-1.49829,0.647345,0.131935,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.152947,-2.53031,-2.42213,1,0.20381,Hyperbolic (f),0.0412424,0.0111275,0.113847,"1,4,26,52,156,260,520","0.55,0.075,0.25,0.15,0.075,0.15,0.15",R_3q6jVB3lLdqrcAh
22,-0.784717,0.179285,-0.305962,-0.197782,72.0534,0.284898,Success: relative step is no more than EpsX,-1.01697,0.164565,-1.50534,-1.39716,131.249,0.518956,Success: relative step is no more than EpsX,1,0.696499,0.164565,0.440572,0.602842,49.6075,0.196147,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193571,0.330311,8.24885,8.35703,1,0.00395398,Exponential (f),1.01697,0.00371039,0.123317,"1,4,26,52,156,260,520","0.98,0.025,0.25,0.025,0.025,0.025,0.025",R_Q6ddSdLPPQsv3IB
23,-3.06601,0.233136,3.37112,3.4793,0.00841055,0.000166055,Success: relative step is no more than EpsX,-1.68839,0.304612,7.11492,7.2231,0.0012938,2.55443e-5,Success: relative step is no more than EpsX,0.493745,0.99804,0.0585186,-14.0349,-13.8726,50.6396,0.999808,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392857,0.117803,-6.18542,-6.07724,1,0.0197436,Beta-Delta (f),nan,0.309145,0.430009,"1,4,26,52,156,260,520","0.55,0.55,0.45,0.35,0.35,0.25,0.25",R_Rz4RpVd1N2ldEhX
24,-1.15034,0.20178,1.34889,1.45707,0.0616615,0.0432826,Success: relative step is no more than EpsX,-1.19477,0.233859,3.41444,3.52262,0.0219525,0.0154093,Success: relative step is no more than EpsX,0.410584,0.998305,0.113098,-4.81015,-4.64788,1.34101,0.941308,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335714,0.135526,-4.22331,-4.11513,1,0.701939,Beta-Delta (f),nan,0.272551,0.363418,"1,4,26,52,156,260,520","0.65,0.35,0.35,0.25,0.25,0.25,0.25",R_ymCJQaeK1XDWh6F
25,-0.0698477,0.11455,-6.57744,-6.46926,12.2752,0.0161833,Success: relative step is no more than EpsX,-0.83462,0.158938,-1.99245,-1.88427,1.23997,0.00163474,Success: relative step is no more than EpsX,0.442555,0.947944,0.0554497,-14.789,-14.6268,744.997,0.982182,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146429,0.163897,-1.56227,-1.4541,1,0.00131837,Beta-Delta (f),nan,0.0151202,0.170146,"1,4,26,52,156,260,520","0.35,0.45,0.075,0.025,0.075,0.025,0.025",R_2BeWJ43G1saUBk1
26,-0.75358,0.15472,-2.36901,-2.26083,208.22,0.135149,Success: relative step is no more than EpsX,-1.08505,0.124244,-5.44015,-5.33197,966.967,0.627629,Success: relative step is no more than EpsX,1,0.713278,0.124244,-3.49424,-3.33197,365.479,0.237222,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168571,0.331713,8.30818,8.41636,1,0.00064907,Exponential (f),1.08505,0.00406747,0.130991,"1,4,26,52,156,260,520","0.98,0.075,0.025,0.025,0.025,0.025,0.025",R_CmoSeeyrPGAKbux
27,-1.04204,0.0911192,-9.78126,-9.67308,648.824,0.000873885,Success: relative step is no more than EpsX,-1.57718,0.122827,-5.6007,-5.49252,80.2287,0.000108058,Success: relative step is no more than EpsX,0.618516,0.94925,0.0289982,-23.8644,-23.7021,741730,0.999018,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192857,0.229796,3.16906,3.27724,1,1.34688e-6,Beta-Delta (f),1.40711,0.0217202,0.240243,"1,4,26,52,156,260,520","0.55,0.55,0.15,0.025,0.025,0.025,0.025",R_1Cj4hGiDFPijbXr
28,-1.99163,0.0865018,-10.5093,-10.4011,29358.6,0.00581972,Success: relative step is no more than EpsX,-2.50826,0.0434489,-20.1494,-20.0412,3.63966e+6,0.721485,Success: relative step is no more than EpsX,1,0.921816,0.0434489,-18.2035,-18.0412,1.37566e+6,0.272696,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279286,0.376074,10.0654,10.1736,1,1.98229e-7,Exponential (f),2.50826,0.0218173,0.321536,"1,4,26,52,156,260,520","0.98,0.75,0.075,0.025,0.075,0.025,0.025",R_3HKbeHw7ygBUPND
29,-3.86229,0.127084,-5.12379,-5.01561,67.8114,0.613526,Success: relative step is no more than EpsX,-4.38199,0.186623,0.255677,0.363857,4.60433,0.0416578,Success: relative step is no more than EpsX,0.723434,0.99571,0.120081,-3.97137,-3.8091,38.1116,0.344816,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.492857,0.232115,3.30967,3.41785,1,0.00904754,Hyperbolic (f),3.86229,0.225338,0.606916,"1,4,26,52,156,260,520","0.85,0.75,0.65,0.35,0.35,0.25,0.25",R_1DOOnks9NVH3AcI
30,3.32731,0.0706989,-13.3336,-13.2254,0.0346995,0.0779342,Success: relative step is no more than EpsX,1.30531,0.0713392,-13.2074,-13.0992,0.0325773,0.0731677,Success: relative step is no more than EpsX,0.0571422,1,0.0437409,-18.1097,-17.9475,0.377964,0.848898,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0571429,0.0437409,-20.0556,-19.9475,1,2.24597,Noise,NA,0.0571429,0.0571429,"1,4,26,52,156,260,520","0.025,0.025,0.075,0.075,0.025,0.15,0.025",R_338QkCLkGHd8gGH
31,-2.60636,0.128979,-4.91651,-4.80833,1754.79,0.409586,Success: relative step is no more than EpsX,-2.99309,0.128151,-5.00666,-4.89848,1835.69,0.428469,Success: relative step is no more than EpsX,1,0.951104,0.128151,-3.06075,-2.89848,693.827,0.161946,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387143,0.374956,10.0237,10.1319,1,0.00023341,Exponential (f),2.99309,0.0365545,0.39422,"1,4,26,52,156,260,520","0.98,0.98,0.15,0.15,0.15,0.15,0.15",R_2v24NIoxS2E1WAR
32,-2.78012,0.199807,1.21128,1.31946,0.72396,0.00172625,Success: relative step is no more than EpsX,-3.55897,0.234753,3.46787,3.57605,0.234263,0.000558589,Success: relative step is no more than EpsX,0.5425,0.994438,0.0700952,-11.5078,-11.3455,418.425,0.997715,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.339286,0.190796,0.565243,0.673423,1,0.00238445,Beta-Delta (f),2.68291,0.176069,0.399262,"1,4,26,52,156,260,520","0.55,0.55,0.55,0.25,0.25,0.15,0.075",R_2TphljiEjEw34ZI
33,-0.884857,0.0437692,-20.0466,-19.9384,163139,0.00698294,Success: relative step is no more than EpsX,-1.42152,0.0611753,-15.3592,-15.251,15656.9,0.000670174,Success: relative step is no more than EpsX,0.736624,0.883431,0.0187623,-29.9598,-29.7975,2.31837e+7,0.992347,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,0.24312,3.95814,4.06631,1,4.28036e-8,Beta-Delta (f),1.13982,0.0101166,0.192104,"1,4,26,52,156,260,520","0.65,0.45,0.025,0.025,0.025,0.025,0.025",R_2EclPz1tTfNkm4e
34,-3.53121,0.108366,-7.35437,-7.24619,1597.88,0.912826,Success: relative step is no more than EpsX,-3.82328,0.158672,-2.01588,-1.9077,110.74,0.0632628,Success: relative step is no more than EpsX,0.9994,0.97841,0.158672,-0.069985,0.0922845,41.8563,0.0239113,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.495714,0.310845,7.3985,7.50668,1,0.000571272,Hyperbolic (f),3.53121,0.181518,0.559086,"1,4,26,52,156,260,520","0.98,0.94,0.55,0.25,0.25,0.25,0.25",R_1kLiWCpTwHmIxFV
35,3.43402,0.0218516,-29.7718,-29.6636,2.54354e-111,2.40938e-33,Success: relative step is no more than EpsX,1.30531,0.0231454,-28.9664,-28.8583,1.70045e-111,1.61075e-33,Success: relative step is no more than EpsX,0.0250001,1,4.16285e-7,-179.984,-179.821,1.05568e-78,1,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,3.46945e-18,-539.079,-538.97,1,9.47253e+77,Noise,NA,0.025,0.025,"1,4,26,52,156,260,520","0.025,0.025,0.025,0.025,0.025,0.025,0.025",R_79T3QJc7gEPqSYx
36,-0.490842,0.0743112,-12.636,-12.5278,4898.47,0.012157,Success: relative step is no more than EpsX,-0.939394,0.0415058,-20.79,-20.6818,288856,0.716886,Success: relative step is no more than EpsX,1,0.676472,0.0415058,-18.8441,-18.6818,109177,0.270957,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146429,0.250153,4.3574,4.46558,1,2.48181e-6,Exponential (f),0.939394,0.00333469,0.1148,"1,4,26,52,156,260,520","0.75,0.15,0.025,0.025,0.025,0.025,0.025",R_2ePeo3SGnB8zOkn
37,-1.82151,0.0910832,-9.78678,-9.6786,11656,0.0132444,Success: relative step is no more than EpsX,-2.35557,0.0516068,-17.7405,-17.6323,621825,0.706562,Success: relative step is no more than EpsX,0.982187,0.912412,0.051254,-15.8906,-15.7283,246591,0.280194,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253571,0.347036,8.94037,9.04855,1,1.13627e-6,Exponential (f),2.35557,0.0184781,0.299176,"1,4,26,52,156,260,520","0.85,0.75,0.025,0.025,0.025,0.075,0.025",R_6J3fLXmHtPaEZ2N
38,-5.17344,0.179226,-0.310584,-0.202405,0.844956,0.190463,Success: relative step is no more than EpsX,-5.89359,0.213031,2.10851,2.21669,0.252078,0.0568214,Success: relative step is no more than EpsX,0.750032,0.998725,0.128167,-3.05904,-2.89677,3.33929,0.752715,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.638571,0.174964,-0.647527,-0.539347,1,0.225412,Beta-Delta (f),5.76132,0.547793,0.682075,"1,4,26,52,156,260,520","0.91,0.91,0.55,0.55,0.55,0.55,0.45",R_237yvaSempEasMH
