"ResponseId","Q22_1","Q22_2","Q22_3","Q22_4","Q22_5","Q22_6","Q22_7","Q22_8","Q22_9","Q22_10","Q22_11","Q22_12","Q22_13","Q22_14","Q22_15","Q22_16","Q22_17","Q22_18","Q22_19","Q22_20","Q22_21","Q24_1","Q24_2","Q24_3","Q24_4","Q24_5","Q24_6","Q24_7","Q24_8","Q24_9","Q24_10","Q24_11","Q24_12","Q24_13","Q24_14","Q24_15","Q24_16","Q24_17","Q24_18","Q24_19","Q24_20","Q24_21","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q25_6","Q25_7","Q25_8","Q25_9","Q25_10","Q25_11","Q25_12","Q25_13","Q25_14","Q25_15","Q25_16","Q25_17","Q25_18","Q25_19","Q25_20","Q25_21","Q26_1","Q26_2","Q26_3","Q26_4","Q26_5","Q26_6","Q26_7","Q26_8","Q26_9","Q26_10","Q26_11","Q26_12","Q26_13","Q26_14","Q26_15","Q26_16","Q26_17","Q26_18","Q26_19","Q26_20","Q26_21","condition","FSC","age","meanstress"
"R_1GB2oZ9FRV6rAk2",2,1,1,1,2,1,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,1,1,1,2,1,1,2,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,1,2,1,1,1,2,2,1,2,1,2,1,1,2,1,2,2,"iva",4.75,54,6.333333333
"R_1gbfl7keLTPYOPL",1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,2,2,1,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,2,2,"iva",1.75,29,6.833333333
"R_1GC5VqTCyEc43wW",2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,2,1,1,1,2,1,2,2,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,2,2,2,1,2,2,1,2,2,"iva",3.5,42,5.666666667
"R_1GgxxQcwVerSSVX",1,2,2,2,1,2,1,1,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,1,1,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,"control",6,40,2.5
"R_1gIrpboKL89PTiK",2,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,2,1,2,2,2,1,1,2,2,2,1,2,1,1,1,2,2,1,2,2,2,1,1,2,1,2,2,"control",5,46,6.5
"R_1gNQsJQJjXjkLGN",1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,2,2,1,1,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,1,1,2,1,2,2,"iva",6,56,4.833333333
"R_1gpccVNCdL3WLII",1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,1,1,2,1,2,2,"iva",NA,NA,3.5
"R_1H7xRlEbWoTbN5R",2,1,1,1,2,1,2,2,1,1,2,2,1,2,1,2,2,1,2,2,2,2,1,1,2,1,1,2,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,NA,1,1,1,2,1,2,2,1,1,1,NA,NA,2,2,2,NA,1,1,NA,2,1,2,1,1,2,2,2,NA,2,1,2,1,1,2,1,2,2,"iva",5.25,55,6.666666667
"R_1HkvZLCwkbWlXng",1,2,2,2,1,2,1,1,2,2,1,2,2,1,1,2,1,2,1,2,1,2,2,1,1,1,2,2,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,1,1,2,1,2,2,"control",4.75,58,2.166666667
"R_1hYZpT6shmLFAON",2,1,1,2,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,2,2,2,2,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,1,1,2,1,2,2,"control",2.25,25,7
"R_1IT0SlAlN157Eof",2,1,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,1,2,2,1,1,1,2,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,2,2,"iva",4.25,56,6.166666667
"R_1jd3O6miBgdk2Cf",1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,2,2,1,2,1,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,1,2,1,1,2,1,2,2,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,1,2,1,1,2,1,2,2,"control",4,43,1.666666667
"R_1jdjxDhBilMLYl7",1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,1,1,2,1,2,2,"control",4,44,3.333333333
"R_1JEJkDC1dXOE3ZR",2,1,1,1,2,1,2,2,1,1,2,2,1,2,1,2,2,1,2,2,2,1,1,1,2,1,1,2,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,2,1,1,2,1,2,2,"iva",3.5,35,5.5
"R_1jPN7YtO7UqX8XY",1,2,2,2,1,2,1,1,2,2,1,2,2,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,1,1,2,2,1,2,2,1,1,2,2,1,2,2,"control",3.5,50,5.166666667
"R_1jTaJOazjKZBOkZ",1,2,1,2,1,2,1,1,2,2,1,2,2,2,1,2,1,2,1,1,1,2,2,1,1,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,1,2,1,1,2,1,2,2,"control",6.25,61,1.333333333
